LOCATION,Year,Rent
AUT,2010,82.8088311319871
AUT,2011,85.5564717502062
AUT,2012,89.3258500983163
AUT,2013,92.1010982227472
AUT,2014,95.7600140460032
AUT,2015,100
AUT,2016,103.082848193641
AUT,2017,107.340474151607
AUT,2018,111.331500049588
AUT,2019,114.639250793832
AUT,2020,119.344851852592
AUT,2021,121.702277383013
AUT,2022,122.716877611959
BEL,2010,93.1924769894356
BEL,2011,94.2812620710945
BEL,2012,95.7353971801546
BEL,2013,96.9955447746657
BEL,2014,99.0276174270711
BEL,2015,100
BEL,2016,100.940882570566
BEL,2017,102.030457652284
BEL,2018,103.080432731033
BEL,2019,104.189457814209
BEL,2020,106.98293302372
BEL,2021,109.153233186492
BEL,2022,112.987008473704
CZE,2010,89.9083344954168
CZE,2011,92.3416746170837
CZE,2012,96.3083348154167
CZE,2013,98.2583374129168
CZE,2014,99.1500074575004
CZE,2015,100
CZE,2016,101.17500505875
CZE,2017,103.358355167918
CZE,2018,106.42500532125
CZE,2019,110.40000552
CZE,2020,113.816655690833
CZE,2021,116.533330826667
CZE,2022,122.300031116075
DNK,2010,89.4008831714096
DNK,2011,92.0839946011498
DNK,2012,94.4587992205549
DNK,2013,96.4502957791041
DNK,2014,98.1251537215661
DNK,2015,100
DNK,2016,101.349880021247
DNK,2017,102.958096016649
DNK,2018,104.191318258406
DNK,2019,105.116241189203
DNK,2020,106.107833564768
DNK,2021,107.474369698145
DNK,2022,109.715857926408
FIN,2010,85.3979088002833
FIN,2011,88.252501744025
FIN,2012,91.5013694310744
FIN,2013,94.1702080731694
FIN,2014,97.0938344737614
FIN,2015,100
FIN,2016,102.291797261748
FIN,2017,104.386052131561
FIN,2018,106.354475700371
FIN,2019,108.492932783609
FIN,2020,110.003008400646
FIN,2021,110.916404138937
FIN,2022,112.020609431974
FRA,2010,94.1641234786371
FRA,2011,95.2791328447158
FRA,2012,96.784980493836
FRA,2013,98.3358260209385
FRA,2014,99.3583346100106
FRA,2015,100
FRA,2016,100.325017730149
FRA,2017,100.514169319022
FRA,2018,100.24918459315
FRA,2019,100.668345614103
FRA,2020,101.05667387606
FRA,2021,101.915856093191
FRA,2022,102.60418687577
DEU,2010,93.7872700000001
DEU,2011,94.9516975000001
DEU,2012,96.0848650000001
DEU,2013,97.3508875000001
DEU,2014,98.8044675000001
DEU,2015,100
DEU,2016,101.133325
DEU,2017,102.53335
DEU,2018,104.058325
DEU,2019,105.558325
DEU,2020,107.04225
DEU,2021,108.505175
DEU,2022,110.351650000054
GRC,2010,123.135090764868
GRC,2011,124.163415687744
GRC,2012,121.580840881437
GRC,2013,113.328566500357
GRC,2014,104.638067152145
GRC,2015,100
GRC,2016,97.3881426958891
GRC,2017,95.2241753581867
GRC,2018,92.1640330876973
GRC,2019,92.1640330876973
GRC,2020,92.1640330876973
GRC,2021,92.272970579527
GRC,2022,93.4594454912276
HUN,2010,90.5405309459469
HUN,2011,92.2164407783559
HUN,2012,95.7571004242899
HUN,2013,97.7103652289634
HUN,2014,98.0172251982775
HUN,2015,100
HUN,2016,105.234264476574
HUN,2017,108.437364156264
HUN,2018,113.908863609114
HUN,2019,124.607562539244
HUN,2020,129.936237006376
HUN,2021,132.397036760296
HUN,2022,146.353085363121
IRL,2010,91.1805788975723
IRL,2011,104.05712300714
IRL,2012,100.80968010121
IRL,2013,99.9912874989108
IRL,2014,99.2599824074978
IRL,2015,100
IRL,2016,102.655387831923
IRL,2017,106.573238321655
IRL,2018,111.248488906061
IRL,2019,116.359064544883
IRL,2020,117.360264670033
IRL,2021,120.538065067258
IRL,2022,131.908416488469
ITA,2010,95.2257089593514
ITA,2011,96.7621570037878
ITA,2012,98.873106947136
ITA,2013,100.17457864282
ITA,2014,99.865090708425
ITA,2015,100
ITA,2016,100.300363658635
ITA,2017,100.500347784895
ITA,2018,100.883642360887
ITA,2019,101.158620534495
ITA,2020,101.400276353064
ITA,2021,101.441948045374
ITA,2022,102.591856771336
LUX,2010,93.0550485112164
LUX,2011,94.8291985640022
LUX,2012,96.0950253994111
LUX,2013,97.4341791170411
LUX,2014,98.367503753781
LUX,2015,100
LUX,2016,100.850825331797
LUX,2017,102.029940397753
LUX,2018,103.317479550235
LUX,2019,104.71161780462
LUX,2020,105.848258228425
LUX,2021,107.306595941929
LUX,2022,109.174905201514
NLD,2010,85.8099999999999
NLD,2011,87.28
NLD,2012,89.3
NLD,2013,92.65
NLD,2014,96.8049999999999
NLD,2015,100
NLD,2016,102.085
NLD,2017,103.925
NLD,2018,105.955
NLD,2019,108.55
NLD,2020,111.5075
NLD,2021,113.565
NLD,2022,115.67500000084
POL,2010,91.0350997758775
POL,2011,93.8326573458165
POL,2012,96.2360099059003
POL,2013,97.5712124392804
POL,2014,98.683877467097
POL,2015,100
POL,2016,101.303427532586
POL,2017,104.336202608405
POL,2018,108.367252709181
POL,2019,113.695327842383
POL,2020,119.862677996567
POL,2021,124.599453114986
POL,2022,142.484728564001
PRT,2010,90.8615000000001
PRT,2011,91.71321
PRT,2012,93.5516525
PRT,2013,94.7166775000001
PRT,2014,98.9102025000001
PRT,2015,100
PRT,2016,101.70465
PRT,2017,102.71635
PRT,2018,104.656925
PRT,2019,107.970225
PRT,2020,110.761675
PRT,2021,112.7587
PRT,2022,115.78682499931
SVK,2010,98.34865
SVK,2011,99.09109
SVK,2012,99.740305
SVK,2013,99.9900324999998
SVK,2014,100
SVK,2015,100
SVK,2016,100.246375
SVK,2017,100.552675
SVK,2018,100.84565
SVK,2019,101.421625
SVK,2020,102.97645
SVK,2021,103.881975
SVK,2022,108.156900001394
ESP,2010,99.7789849889492
ESP,2011,100.814105040705
ESP,2012,101.368280068414
ESP,2013,101.179880058994
ESP,2014,100.484355024218
ESP,2015,100
ESP,2016,99.9122774956138
ESP,2017,100.322280016114
ESP,2018,101.590255079513
ESP,2019,103.155455157773
ESP,2020,104.332355216618
ESP,2021,104.954930247746
ESP,2022,106.364480318449
SWE,2010,90.2647247566181
SWE,2011,92.3592223089805
SWE,2012,94.7419248685481
SWE,2013,96.8822249220556
SWE,2014,98.5445524636137
SWE,2015,100
SWE,2016,100.877477521937
SWE,2017,101.685002542125
SWE,2018,102.64680256617
SWE,2019,104.246777606169
SWE,2020,105.847377646184
SWE,2021,107.163227679081
SWE,2022,108.917727723136
CHE,2010,95.6918629308138
CHE,2011,96.9501428049858
CHE,2012,97.5874677412533
CHE,2013,98.035810196419
CHE,2014,99.2104350789565
CHE,2015,100
CHE,2016,100.316689968331
CHE,2017,101.383889861611
CHE,2018,101.752864824713
CHE,2019,102.274239772576
CHE,2020,103.141714685829
CHE,2021,104.099489590051
CHE,2022,105.556089444391
EST,2010,51.2319650000001
EST,2011,62.2848125000001
EST,2012,73.6188425000001
EST,2013,83.9836925000001
EST,2014,93.1639900000001
EST,2015,100
EST,2016,106.4842
EST,2017,114.27955
EST,2018,121.919325
EST,2019,130.68085
EST,2020,125.22175
EST,2021,129.8792
EST,2022,158.571174993286
LVA,2010,77.3819213690962
LVA,2011,81.7140740857038
LVA,2012,89.5252344762618
LVA,2013,94.5836022291803
LVA,2014,99.2620074631005
LVA,2015,100
LVA,2016,98.6193099309656
LVA,2017,98.2735149136759
LVA,2018,102.369872618494
LVA,2019,107.120080356004
LVA,2020,104.808955240448
LVA,2021,106.461155323058
LVA,2022,109.586580477045
LTU,2010,63.1121164553795
LTU,2011,64.5683387005407
LTU,2012,71.1677525456432
LTU,2013,75.7967792355636
LTU,2014,84.6536676856081
LTU,2015,100
LTU,2016,110.400430679924
LTU,2017,110.801555609728
LTU,2018,117.192329491342
LTU,2019,126.173777919589
LTU,2020,129.531452331996
LTU,2021,131.879301921122
LTU,2022,153.169973200186
SVN,2010,101.876680294944
SVN,2011,101.488327129866
SVN,2012,99.8333036414247
SVN,2013,98.7758050228109
SVN,2014,98.052466627603
SVN,2015,100
SVN,2016,101.620853209953
SVN,2017,106.96337175148
SVN,2018,113.627576064745
SVN,2019,118.445965334617
SVN,2020,115.736768254661
SVN,2021,119.925977396716
SVN,2022,142.555336804991
BGR,2010,96.3757427269017
BGR,2011,97.6716084568783
BGR,2012,98.5341300199174
BGR,2013,99.0316424577283
BGR,2014,99.2649816245408
BGR,2015,100
BGR,2016,100.597514937874
BGR,2017,101.601706709335
BGR,2018,103.520921356368
BGR,2019,106.901839212648
BGR,2020,109.608573547673
BGR,2021,111.421952215472
BGR,2022,118.479628660559
HRV,2010,96.8125265622787
HRV,2011,97.9791835068041
HRV,2012,97.9241839651337
HRV,2013,97.9058507845768
HRV,2014,99.4000049999585
HRV,2015,100
HRV,2016,98.920008999925
HRV,2017,98.63917800685
HRV,2018,101.167490270914
HRV,2019,106.090782576812
HRV,2020,108.400763326972
HRV,2021,108.896592528396
HRV,2022,112.355730370358
ROU,2010,93.6091134092784
ROU,2011,94.2307852565438
ROU,2012,96.4724706039217
ROU,2013,97.003308360903
ROU,2014,99.0024916874307
ROU,2015,100
ROU,2016,100.873340611172
ROU,2017,102.425020208502
ROU,2018,104.937541146176
ROU,2019,107.698397486646
ROU,2020,110.127584396536
ROU,2021,112.925941049509
ROU,2022,118.480987341253