LOCATION,Year,GNI
AUS,2010,41099.911569
AUS,2011,43089.625865
AUS,2012,42793.330536
AUS,2013,46516.368344
AUS,2014,46639.607311
AUS,2015,46115.624328
AUS,2016,48775.931511
AUS,2017,49119.582443
AUS,2018,51254.090388
AUS,2019,51598.411675
AUS,2020,55154.538972
AUS,2021,59844.152765
AUT,2010,42370.492685
AUT,2011,44619.143494
AUT,2012,46524.585901
AUT,2013,48065.980083
AUT,2014,48877.877018
AUT,2015,49450.318805
AUT,2016,52661.118518
AUT,2017,53680.256398
AUT,2018,56398.368814
AUT,2019,59548.613171
AUT,2020,57766.534691
AUT,2021,60261.100147
BEL,2010,40447.969291
BEL,2011,41008.847549
BEL,2012,43271.819019
BEL,2013,44748.589693
BEL,2014,45872.684937
BEL,2015,46855.558957
BEL,2016,49065.357391
BEL,2017,50905.372269
BEL,2018,52995.77947
BEL,2019,56340.906308
BEL,2020,55100.791357
BEL,2021,59365.305438
CAN,2010,39306.965939
CAN,2011,40879.706167
CAN,2012,41540.466357
CAN,2013,43623.829964
CAN,2014,45014.460327
CAN,2015,43985.744064
CAN,2016,45904.592006
CAN,2017,47702.730871
CAN,2018,49142.810078
CAN,2019,49238.577384
CAN,2020,46858.259097
CAN,2021,52715.421783
CAN,2022,56487.724388
CZE,2010,25688.237623
CZE,2011,26659.370795
CZE,2012,27377.536102
CZE,2013,28870.330817
CZE,2014,30272.958882
CZE,2015,31583.657964
CZE,2016,33665.787906
CZE,2017,36643.674326
CZE,2018,38897.897551
CZE,2019,41550.463726
CZE,2020,40682.895664
CZE,2021,42980.550812
DNK,2010,43709.604232
DNK,2011,45344.367171
DNK,2012,45820.387616
DNK,2013,48223.000169
DNK,2014,49648.01783
DNK,2015,50564.074167
DNK,2016,53244.41556
DNK,2017,56568.221029
DNK,2018,59076.193546
DNK,2019,61619.447517
DNK,2020,62812.707224
DNK,2021,67159.539624
DNK,2022,77802.563285
FIN,2010,39458.080139
FIN,2011,41073.289406
FIN,2012,41063.966306
FIN,2013,41663.300112
FIN,2014,42167.773015
FIN,2015,42908.108009
FIN,2016,45139.000715
FIN,2017,47594.023853
FIN,2018,49772.430431
FIN,2019,52073.834828
FIN,2020,53179.030302
FIN,2021,55560.005869
FIN,2022,59730.173714
FRA,2010,36741.445969
FRA,2011,38443.508014
FRA,2012,38508.150438
FRA,2013,40413.873486
FRA,2014,41014.141707
FRA,2015,41711.649419
FRA,2016,43762.504542
FRA,2017,45450.131699
FRA,2018,47411.192085
FRA,2019,51299.720783
FRA,2020,48571.190006
FRA,2021,52517.468077
DEU,2010,40470.854089
DEU,2011,43630.88959
DEU,2012,44399.894585
DEU,2013,46035.531279
DEU,2014,47953.166499
DEU,2015,48694.521665
DEU,2016,51834.217115
DEU,2017,54335.986153
DEU,2018,57056.545007
DEU,2019,59329.093999
DEU,2020,58145.403235
DEU,2021,60884.514282
DEU,2022,66285.344413
GRC,2010,27294.138395
GRC,2011,24959.794298
GRC,2012,25119.569313
GRC,2013,25985.683824
GRC,2014,26797.994311
GRC,2015,26738.495493
GRC,2016,27377.78929
GRC,2017,28461.422297
GRC,2018,29290.989054
GRC,2019,30875.775163
GRC,2020,28278.088937
GRC,2021,31160.442739
HUN,2010,20718.231733
HUN,2011,21914.223952
HUN,2012,22282.361886
HUN,2013,23833.946719
HUN,2014,24531.975844
HUN,2015,25516.089454
HUN,2016,27188.310438
HUN,2017,28302.773497
HUN,2018,30659.059758
HUN,2019,33731.670638
HUN,2020,33358.564338
HUN,2021,35651.053338
IRL,2010,36322.686954
IRL,2011,36713.239039
IRL,2012,37535.106881
IRL,2013,40476.51175
IRL,2014,43304.84694
IRL,2015,53243.968458
IRL,2016,58417.741229
IRL,2017,62070.412204
IRL,2018,65780.789805
IRL,2019,69786.747733
IRL,2020,70791.496903
IRL,2021,81104.159179
ITA,2010,34764.322436
ITA,2011,36111.761596
ITA,2012,36047.258441
ITA,2013,36205.072993
ITA,2014,36479.158788
ITA,2015,36949.112518
ITA,2016,40382.83685
ITA,2017,42185.38429
ITA,2018,43907.370327
ITA,2019,46187.956016
ITA,2020,43684.094965
ITA,2021,47574.637554
ITA,2022,53075.33059
JPN,2010,36284.257234
JPN,2011,37268.079393
JPN,2012,38667.565654
JPN,2013,40793.102853
JPN,2014,41030.245258
JPN,2015,42517.920827
JPN,2016,42056.981946
JPN,2017,43067.651469
JPN,2018,43881.061137
JPN,2019,44089.233891
JPN,2020,43387.529762
JPN,2021,44977.419738
KOR,2010,31784.10804
KOR,2011,32747.982515
KOR,2012,33907.928277
KOR,2013,34462.50267
KOR,2014,35495.22574
KOR,2015,38020.917596
KOR,2016,39719.980511
KOR,2017,41124.298005
KOR,2018,43217.699622
KOR,2019,43784.813737
KOR,2020,45085.153342
KOR,2021,47397.029436
LUX,2010,61335.955018
LUX,2011,65354.730794
LUX,2012,74151.174167
LUX,2013,72147.053576
LUX,2014,76212.565294
LUX,2015,69436.001203
LUX,2016,74845.970828
LUX,2017,82208.694093
LUX,2018,83156.432712
LUX,2019,80291.88721
LUX,2020,82795.16685
LUX,2021,91669.48834
MEX,2010,15047.387069
MEX,2011,16259.410676
MEX,2012,16862.85154
MEX,2013,16929.754622
MEX,2014,17707.673461
MEX,2015,17954.234568
MEX,2016,19260.781327
MEX,2017,19677.336204
MEX,2018,20005.180768
MEX,2019,19654.297029
MEX,2020,17861.18455
MEX,2021,18926.957554
NLD,2010,44643.038304
NLD,2011,46442.955638
NLD,2012,46745.651068
NLD,2013,48891.54407
NLD,2014,48736.470017
NLD,2015,49776.00061
NLD,2016,51020.439294
NLD,2017,54456.400448
NLD,2018,57607.467506
NLD,2019,58983.256856
NLD,2020,57865.976834
NLD,2021,61946.917712
NZL,2010,29590.288558
NZL,2011,31158.682948
NZL,2012,31546.743451
NZL,2013,34662.657787
NZL,2014,35590.980062
NZL,2015,36011.269603
NZL,2016,38418.254599
NZL,2017,40416.023552
NZL,2018,40792.83691
NZL,2019,44420.215124
NZL,2020,44583.800272
NZL,2021,47118.053145
NOR,2010,58857.9728
NOR,2011,63056.5331
NOR,2012,66323.329784
NOR,2013,68086.415172
NOR,2014,68419.551905
NOR,2015,63229.665383
NOR,2016,61841.36074
NOR,2017,66941.939539
NOR,2018,73093.168062
NOR,2019,72051.632365
NOR,2020,67829.25098
NOR,2021,83759.934379
POL,2010,19882.578612
POL,2011,21567.082273
POL,2012,22415.070026
POL,2013,23195.652295
POL,2014,24048.867542
POL,2015,25509.376837
POL,2016,26705.439163
POL,2017,28354.520524
POL,2018,30329.37892
POL,2019,33148.689909
POL,2020,33578.200426
POL,2021,35957.457393
PRT,2010,26393.198455
PRT,2011,26335.67418
PRT,2012,25812.299436
PRT,2013,27562.555251
PRT,2014,28154.273553
PRT,2015,28865.215742
PRT,2016,30839.796167
PRT,2017,32269.025353
PRT,2018,34075.601394
PRT,2019,36330.27528
PRT,2020,34411.605571
PRT,2021,36279.488777
SVK,2010,24696.729393
SVK,2011,25354.679434
SVK,2012,26550.555175
SVK,2013,27815.164753
SVK,2014,28702.512618
SVK,2015,29329.190567
SVK,2016,28954.267805
SVK,2017,29603.712695
SVK,2018,30880.148708
SVK,2019,32658.762232
SVK,2020,32502.86775
SVK,2021,33527.759638
ESP,2010,31229.014679
ESP,2011,31309.918258
ESP,2012,31471.043436
ESP,2013,32246.401127
ESP,2014,33436.162039
ESP,2015,34937.799451
ESP,2016,37425.424397
ESP,2017,39616.366483
ESP,2018,40835.535722
ESP,2019,43212.038259
ESP,2020,38089.01621
ESP,2021,40948.095368
SWE,2010,43368.71044
SWE,2011,45519.554173
SWE,2012,46472.704182
SWE,2013,47352.523077
SWE,2014,48180.581727
SWE,2015,49518.653061
SWE,2016,50743.555804
SWE,2017,52868.780569
SWE,2018,54590.858902
SWE,2019,58108.9971
SWE,2020,58185.039212
SWE,2021,62377.103104
CHE,2010,57173.631481
CHE,2011,57826.901551
CHE,2012,60443.068669
CHE,2013,62656.094498
CHE,2014,63346.710682
CHE,2015,65924.691693
CHE,2016,66959.088246
CHE,2017,67250.538137
CHE,2018,68134.791843
CHE,2019,70145.150757
CHE,2020,69196.303956
CHE,2021,74259.897796
GBR,2010,36597.80138
GBR,2011,37401.351457
GBR,2012,37973.685801
GBR,2013,39279.583137
GBR,2014,40550.382184
GBR,2015,41675.485579
GBR,2016,43196.464353
GBR,2017,45620.665612
GBR,2018,46575.852486
GBR,2019,49297.472786
GBR,2020,44841.703912
GBR,2021,49738.626894
USA,2010,48967.602529
USA,2011,50753.223715
USA,2012,52984.653269
USA,2013,54204.935998
USA,2014,56455.061154
USA,2015,57932.806189
USA,2016,58595.045116
USA,2017,60838.129474
USA,2018,63679.249013
USA,2019,65850.774402
USA,2020,64722.375445
USA,2021,71090.273409
CHL,2010,16873.01218
CHL,2011,18473.335511
CHL,2012,20283.595524
CHL,2013,21303.015663
CHL,2014,21645.687842
CHL,2015,22009.735768
CHL,2016,22734.046323
CHL,2017,23527.841205
CHL,2018,24451.399343
CHL,2019,24562.200507
CHL,2020,23057.970043
CHL,2021,26468.613065
CHN,2010,9193.114777
CHN,2011,10165.837899
CHN,2012,11101.520595
CHN,2013,11741.32591
CHN,2014,12454.422104
CHN,2015,12804.40945
CHN,2016,13372.868349
CHN,2017,14185.296252
CHN,2018,15398.39911
CHN,2019,16577.94574
CHN,2020,17054.785021
COL,2010,10816.663193
COL,2011,11594.778706
COL,2012,12051.596248
COL,2013,12807.270034
COL,2014,13385.75962
COL,2015,13583.390401
COL,2016,14353.704274
COL,2017,14675.240596
COL,2018,15423.183824
COL,2019,16124.9826
COL,2020,15451.130548
COL,2021,17336.604842
COL,2022,19622.856133
EST,2010,20427.982709
EST,2011,23263.41164
EST,2012,24870.233868
EST,2013,26754.369449
EST,2014,28094.754959
EST,2015,28580.595861
EST,2016,30613.618111
EST,2017,33034.787039
EST,2018,35715.762884
EST,2019,38333.392267
EST,2020,39018.979589
EST,2021,42750.34017
ISR,2010,28775.82466
ISR,2011,30760.908266
ISR,2012,31519.357703
ISR,2013,34061.109351
ISR,2014,34548.030307
ISR,2015,35572.774794
ISR,2016,37877.35914
ISR,2017,39267.203821
ISR,2018,40217.807666
ISR,2019,40721.538019
ISR,2020,39867.440717
ISR,2021,43388.214548
RUS,2010,21294.527341
RUS,2011,22066.301817
RUS,2012,23483.481657
RUS,2013,25057.615461
RUS,2014,24820.123166
RUS,2015,23339.924075
RUS,2016,23352.723066
RUS,2017,25087.01921
RUS,2018,27959.301692
RUS,2019,28840.463021
RUS,2020,28991.46162
SVN,2010,27453.67402
SVN,2011,28538.672244
SVN,2012,28595.403683
SVN,2013,29578.422706
SVN,2014,30589.399914
SVN,2015,30656.234899
SVN,2016,33082.443588
SVN,2017,35859.401026
SVN,2018,38428.151577
SVN,2019,41432.592986
SVN,2020,40590.427486
SVN,2021,43360.975155
ZAF,2010,12741.734899
ZAF,2011,13187.844488
ZAF,2012,13021.965246
ZAF,2013,13454.619027
ZAF,2014,13472.92793
ZAF,2015,13622.584314
ZAF,2016,13647.2662
ZAF,2017,13742.155921
ZAF,2018,14100.713099
ZAF,2019,14259.986471
ZAF,2020,13461.029692
ZAF,2021,14491.032133
ZAF,2022,15645.166331
OECD,2010,34640.521391
OECD,2011,36109.956512
OECD,2012,37201.38115
OECD,2013,38488.988735
OECD,2014,39705.405301
OECD,2015,40757.139564
OECD,2016,42112.280074
OECD,2017,43781.680262
OECDE,2010,32701.348953
OECDE,2011,34244.054941
OECDE,2012,34860.216252
OECDE,2013,36206.125241
OECDE,2014,37324.245715
OECDE,2015,38383.052395
OECDE,2016,40411.128737
OECDE,2017,42413.38439
SAU,2010,52041.691926
SAU,2011,56936.789605
SAU,2012,58555.366875
SAU,2013,57590.705358
SAU,2014,57850.456617
SAU,2015,50798.47136
SAU,2016,47418.505232
SAU,2017,48605.597495
SAU,2018,49654.27023
SAU,2019,49537.853335
SAU,2020,47290.097349
EA19,2010,35848.851259
EA19,2011,37300.643931
EA19,2012,37811.593322
EA19,2013,39234.142288
EA19,2014,40211.31922
EA19,2015,41136.8315
EA19,2016,43791.874605
EA19,2017,45901.874577
EA19,2018,47879.575716
EA19,2019,50601.441594
EA19,2020,48200.279362
EA19,2021,51510.772506
EA19,2022,56197.996874
LVA,2010,17886.759267
LVA,2011,19236.201576
LVA,2012,21148.234097
LVA,2013,22586.281936
LVA,2014,23840.615807
LVA,2015,24858.811558
LVA,2016,26686.315467
LVA,2017,28617.641537
LVA,2018,30402.464899
LVA,2019,32460.552266
LVA,2020,33003.536987
LVA,2021,34511.277807
LTU,2010,19965.9631
LTU,2011,22215.594117
LTU,2012,23930.92831
LTU,2013,26131.355549
LTU,2014,27851.693958
LTU,2015,27794.213845
LTU,2016,29823.078462
LTU,2017,32541.198764
LTU,2018,35248.44294
LTU,2019,38559.650988
LTU,2020,38974.060194
LTU,2021,42016.590854
CRI,2010,12897.646238
CRI,2011,13594.364476
CRI,2012,14387.332428
CRI,2013,14976.246332
CRI,2014,15930.14377
CRI,2015,16894.142731
CRI,2016,18312.994063
CRI,2017,19302.733936
CRI,2018,20159.417579
CRI,2019,21382.904184
CRI,2020,20494.953803
CRI,2021,21167.987058
CRI,2022,22716.637901
TUR,2010,17080.844718
TUR,2011,19271.939073
TUR,2012,20311.343376
TUR,2013,21996.840944
TUR,2014,23763.576536
TUR,2015,25422.670086
TUR,2016,26218.677618
TUR,2017,27567.22083
BRA,2010,13939.892327
BRA,2011,14716.158958
BRA,2012,14799.075233
BRA,2013,15480.391683
BRA,2014,15487.335361
BRA,2015,14496.429226
BRA,2016,14022.168792
BRA,2017,14323.999782
BRA,2018,14669.30622
BRA,2019,15009.937061
BRA,2020,14857.040499
HKG,2010,50233.159077
HKG,2011,53702.037702
HKG,2012,52990.623254
HKG,2013,54708.488522
HKG,2014,55915.249982
HKG,2015,57455.049509
HKG,2016,58660.056449
HKG,2017,62443.864164
HKG,2018,65482.768098
HKG,2019,65239.92628
HKG,2020,62388.185536
HKG,2021,70455.794739
MAR,2010,6989.27116
MAR,2011,7407.283836
MAR,2012,7380.835584
MAR,2013,7693.431488
MAR,2014,7203.453138
MAR,2015,7783.071006
MAR,2016,7834.039364
MAR,2017,8067.241321
MAR,2018,8414.778303
MAR,2019,8675.149557
MAR,2020,7974.457937
MAR,2021,8950.055908
SGP,2010,74571.27277
SGP,2011,77297.025272
SGP,2012,78422.166792
SGP,2013,78533.498422
SGP,2014,81482.313831
SGP,2015,81040.241505
SGP,2016,83764.861646
SGP,2017,88092.237321
SGP,2018,88775.492557
SGP,2019,89924.185914
SGP,2020,86151.603868
EU27_2020,2010,32967.064707
EU27_2020,2011,34489.679309
EU27_2020,2012,34923.76117
EU27_2020,2013,36124.975
EU27_2020,2014,37083.947771
EU27_2020,2015,38117.843906
EU27_2020,2016,40591.507313
EU27_2020,2017,42718.371084
EU27_2020,2018,44736.90453
EU27_2020,2019,47549.215895
EU27_2020,2020,45766.977312
EU27_2020,2021,49085.993371
EU27_2020,2022,53988.384363
GEO,2010,7430.46029
GEO,2011,8124.710918
GEO,2012,9723.352071
GEO,2013,10416.023417
GEO,2014,11424.653084
GEO,2015,11815.193802
GEO,2016,12262.846617
GEO,2017,12924.219958
GEO,2018,14026.168723
GEO,2019,14926.535788
GEO,2020,14044.439387
ROU,2010,16870.836389
ROU,2011,17754.838152
ROU,2012,18658.095585
ROU,2013,19478.181244
ROU,2014,20535.508523
ROU,2015,21361.218923
ROU,2016,23928.057408
ROU,2017,26732.243953
ROU,2018,28767.641144
ROU,2019,32394.257226
ROU,2020,32543.330446
CMR,2010,2790.135614
CMR,2011,2863.874321
CMR,2012,2915.090614
CMR,2013,3072.810272
CMR,2014,3250.290412
CMR,2015,3354.297506
CMR,2016,3462.156895
CMR,2017,3605.031522
CMR,2018,3735.562785
CMR,2019,3815.503456
SEN,2010,2690.209245
SEN,2011,2685.46604
SEN,2012,2750.365377
SEN,2013,2749.971923
SEN,2014,2825.162311
SEN,2015,2946.391628
SEN,2016,3031.709233
SEN,2017,3141.254986
SEN,2018,3321.190821
SEN,2019,3425.69206
SEN,2020,3428.207381
HRV,2010,19426.942986
HRV,2011,20481.317777
HRV,2012,20746.704039
HRV,2013,21683.69389
HRV,2014,21993.515857
HRV,2015,23361.757447
HRV,2016,24742.323768
HRV,2017,27031.87038
HRV,2018,28704.811459
HRV,2019,31510.991788
HRV,2020,30310.588986
HRV,2021,34147.33287
