LOCATION,Year,Poverty
AUT,2010,0.089
AUT,2011,0.091
AUT,2012,0.096
AUT,2013,0.09
AUT,2014,0.091
AUT,2015,0.087
AUT,2016,0.098
AUT,2017,0.094
AUT,2018,0.094
AUT,2019,0.1
BEL,2018,0.082
BEL,2019,0.081
CZE,2010,0.065
CZE,2011,0.059
CZE,2012,0.052
CZE,2013,0.059
CZE,2014,0.059
CZE,2015,0.064
CZE,2016,0.056
CZE,2017,0.056
CZE,2018,0.061
CZE,2019,0.056
DNK,2011,0.058
DNK,2012,0.054
DNK,2013,0.054
DNK,2014,0.055
DNK,2015,0.055
DNK,2016,0.058
DNK,2017,0.061
DNK,2018,0.064
DNK,2019,0.065
FIN,2010,0.072
FIN,2011,0.075
FIN,2012,0.065
FIN,2013,0.071
FIN,2014,0.068
FIN,2015,0.063
FIN,2016,0.058
FIN,2017,0.063
FIN,2018,0.065
FIN,2019,0.064
FIN,2020,0.057
FRA,2012,0.085
FRA,2013,0.079
FRA,2014,0.081
FRA,2015,0.081
FRA,2016,0.083
FRA,2017,0.081
FRA,2018,0.085
FRA,2019,0.084
DEU,2011,0.087
DEU,2012,0.084
DEU,2013,0.091
DEU,2014,0.095
DEU,2015,0.101
DEU,2016,0.104
DEU,2017,0.104
DEU,2018,0.098
DEU,2019,0.109
GRC,2010,0.141
GRC,2011,0.151
GRC,2012,0.149
GRC,2013,0.151
GRC,2014,0.148
GRC,2015,0.149
GRC,2016,0.144
GRC,2017,0.126
GRC,2018,0.121
GRC,2019,0.115
HUN,2010,0.073
HUN,2011,0.077
HUN,2012,0.085
HUN,2013,0.086
HUN,2014,0.087
HUN,2015,0.085
HUN,2016,0.077
HUN,2017,0.08
HUN,2018,0.087
HUN,2019,0.092
IRL,2010,0.091
IRL,2011,0.1
IRL,2012,0.094
IRL,2013,0.095
IRL,2014,0.093
IRL,2015,0.098
IRL,2016,0.091
IRL,2017,0.09
IRL,2018,0.074
ITA,2010,0.134
ITA,2011,0.128
ITA,2012,0.13
ITA,2013,0.133
ITA,2014,0.137
ITA,2015,0.144
ITA,2016,0.137
ITA,2017,0.139
ITA,2018,0.142
LUX,2015,0.109
LUX,2016,0.111
LUX,2017,0.122
LUX,2018,0.114
LUX,2019,0.105
NLD,2011,0.072
NLD,2012,0.074
NLD,2013,0.078
NLD,2014,0.077
NLD,2015,0.077
NLD,2016,0.081
NLD,2017,0.079
NLD,2018,0.078
NLD,2019,0.08
NLD,2020,0.083
POL,2010,0.107
POL,2011,0.106
POL,2012,0.104
POL,2013,0.106
POL,2014,0.104
POL,2015,0.111
POL,2016,0.103
POL,2017,0.096
POL,2018,0.098
PRT,2010,0.109
PRT,2011,0.114
PRT,2012,0.13
PRT,2013,0.135
PRT,2014,0.135
PRT,2015,0.125
PRT,2016,0.125
PRT,2017,0.107
PRT,2018,0.104
PRT,2019,0.106
SVK,2010,0.08
SVK,2011,0.082
SVK,2012,0.085
SVK,2013,0.085
SVK,2014,0.088
SVK,2015,0.085
SVK,2016,0.085
SVK,2017,0.073
SVK,2018,0.077
SVK,2019,0.078
ESP,2010,0.139
ESP,2011,0.147
ESP,2012,0.141
ESP,2013,0.159
ESP,2014,0.153
ESP,2015,0.153
ESP,2016,0.156
ESP,2017,0.148
ESP,2018,0.142
ESP,2019,0.147
SWE,2013,0.084
SWE,2014,0.087
SWE,2015,0.089
SWE,2016,0.088
SWE,2017,0.093
SWE,2018,0.087
SWE,2019,0.091
SWE,2020,0.088
EST,2013,0.158
EST,2014,0.157
EST,2015,0.16
EST,2016,0.158
EST,2017,0.158
EST,2018,0.163
EST,2019,0.149
SVN,2010,0.091
SVN,2011,0.086
SVN,2012,0.095
SVN,2013,0.095
SVN,2014,0.093
SVN,2015,0.092
SVN,2016,0.086
SVN,2017,0.085
SVN,2018,0.075
SVN,2019,0.074
LVA,2010,0.133
LVA,2011,0.129
LVA,2012,0.133
LVA,2013,0.145
LVA,2014,0.164
LVA,2015,0.162
LVA,2016,0.167
LVA,2017,0.166
LVA,2018,0.175
LVA,2019,0.162
LVA,2020,0.169
LTU,2010,0.127
LTU,2011,0.126
LTU,2012,0.143
LTU,2013,0.124
LTU,2014,0.157
LTU,2015,0.165
LTU,2016,0.168
LTU,2017,0.173
LTU,2018,0.155
LTU,2019,0.154
BGR,2010,0.15
BGR,2011,0.162
BGR,2012,0.154
BGR,2013,0.16
BGR,2014,0.166
BGR,2015,0.168
BGR,2016,0.169
BGR,2017,0.162
BGR,2018,0.167
BGR,2019,0.176
ROU,2010,0.167
ROU,2011,0.167
ROU,2012,0.165
ROU,2013,0.182
ROU,2014,0.187
ROU,2015,0.193
ROU,2016,0.18
ROU,2017,0.179
ROU,2018,0.174
ROU,2019,0.17