LOCATION,Year,Women_unemp
AUT,2010,3.6
AUT,2011,3.5
AUT,2012,4.1
AUT,2013,4.5
AUT,2014,4.5
AUT,2015,4.2
AUT,2016,4.4
AUT,2017,3.7
AUT,2018,3.5
AUT,2019,3.3
AUT,2020,4.1
AUT,2021,4.5
BEL,2010,7.1
BEL,2011,6
BEL,2012,5.9
BEL,2013,6.8
BEL,2014,6.5
BEL,2015,6.2
BEL,2016,6
BEL,2017,5.7
BEL,2018,4.5
BEL,2019,3.8
BEL,2020,4.4
BEL,2021,4.5
FIN,2010,7.6
FIN,2011,6.9
FIN,2012,6.8
FIN,2013,7.2
FIN,2014,7.5
FIN,2015,8.4
FIN,2016,8
FIN,2017,8
FIN,2018,6.8
FIN,2019,5.8
FIN,2020,6.9
FIN,2021,6.2
FRA,2010,8.7
FRA,2011,8.9
FRA,2012,8.7
FRA,2013,8.9
FRA,2014,9.2
FRA,2015,9
FRA,2016,9
FRA,2017,8.5
FRA,2018,8.3
FRA,2019,7.7
FRA,2020,7.2
FRA,2021,7.1
DEU,2010,6.1
DEU,2011,5.2
DEU,2012,4.7
DEU,2013,4.5
DEU,2014,4.2
DEU,2015,3.7
DEU,2016,3.3
DEU,2017,2.9
DEU,2018,2.5
DEU,2019,2.3
DEU,2020,2.7
DEU,2021,2.7
GRC,2010,16.2
GRC,2011,21.4
GRC,2012,27.9
GRC,2013,30.7
GRC,2014,29.8
GRC,2015,28.7
GRC,2016,27.7
GRC,2017,25.4
GRC,2018,23.3
GRC,2019,20.3
GRC,2020,20.1
GRC,2021,18.2
IRL,2010,9.2
IRL,2011,10
IRL,2012,10.1
IRL,2013,9.8
IRL,2014,8.6
IRL,2015,7.2
IRL,2016,6
IRL,2017,5.8
IRL,2018,5
IRL,2019,4.3
IRL,2020,5.2
IRL,2021,5.7
ITA,2010,9.2
ITA,2011,9
ITA,2012,11.3
ITA,2013,12.4
ITA,2014,13.3
ITA,2015,12
ITA,2016,12.2
ITA,2017,11.9
ITA,2018,11.2
ITA,2019,10.5
ITA,2020,9.6
ITA,2021,9.8
LUX,2010,3.6
LUX,2011,4.1
LUX,2012,3.9
LUX,2013,3.9
LUX,2014,4
LUX,2015,4.4
LUX,2016,4
LUX,2017,3.7
LUX,2018,4.2
LUX,2019,3.8
LUX,2020,3.9
LUX,2021,3.8
NLD,2010,4
NLD,2011,3.7
NLD,2012,5.4
NLD,2013,6.4
NLD,2014,7
NLD,2015,6.5
NLD,2016,5.8
NLD,2017,4.7
NLD,2018,3.4
NLD,2019,2.8
NLD,2020,4.3
NLD,2021,3.7
PRT,2010,12
PRT,2011,13.3
PRT,2012,15.8
PRT,2013,16.5
PRT,2014,14.6
PRT,2015,12.9
PRT,2016,11.2
PRT,2017,9.5
PRT,2018,7.3
PRT,2019,6.9
PRT,2020,6.9
PRT,2021,6.6
SVK,2010,14.6
SVK,2011,13.6
SVK,2012,14.6
SVK,2013,14.6
SVK,2014,13.7
SVK,2015,12.9
SVK,2016,10.8
SVK,2017,8.5
SVK,2018,7
SVK,2019,6
SVK,2020,7.1
SVK,2021,7
ESP,2010,18.8
ESP,2011,20.4
ESP,2012,23.5
ESP,2013,25.2
ESP,2014,24.1
ESP,2015,22.3
ESP,2016,20.2
ESP,2017,17.9
ESP,2018,15.9
ESP,2019,14.8
ESP,2020,15.2
ESP,2021,14.8
EST,2010,13.4
EST,2011,11.2
EST,2012,9
EST,2013,8.1
EST,2014,6.7
EST,2015,5.9
EST,2016,5.9
EST,2017,5.4
EST,2018,5.2
EST,2019,4.8
EST,2020,6.3
EST,2021,5.2
SVN,2010,6.9
SVN,2011,7.8
SVN,2012,9.1
SVN,2013,10.1
SVN,2014,10.3
SVN,2015,9.7
SVN,2016,8.2
SVN,2017,7.1
SVN,2018,5.4
SVN,2019,4.8
SVN,2020,5.1
SVN,2021,4.9
EU27,2010,9
EU27,2011,9.1
EU27,2012,9.9
LVA,2017,8
LVA,2018,6.5
LVA,2019,5.6
LVA,2020,7.1
LVA,2021,6.7
LTU,2018,5.5
LTU,2019,5.7
LTU,2020,7.7
LTU,2021,6.6