LOCATION,INDICATOR,TIME,Household_wealth
HUN,HHWEALTH,2010,335.4234
HUN,HHWEALTH,2011,324.8904
HUN,HHWEALTH,2012,339.2473
HUN,HHWEALTH,2013,344.7383
HUN,HHWEALTH,2014,351.9915
HUN,HHWEALTH,2015,365.9498
HUN,HHWEALTH,2016,370.7466
HUN,HHWEALTH,2017,368.5851
HUN,HHWEALTH,2018,365.488
HUN,HHWEALTH,2019,369.2627
HUN,HHWEALTH,2020,398.3629
SVK,HHWEALTH,2010,292.4047
SVK,HHWEALTH,2011,287.9049
SVK,HHWEALTH,2012,284.7117
SVK,HHWEALTH,2013,289.596
SVK,HHWEALTH,2014,291.7921
SVK,HHWEALTH,2015,283.3779
SVK,HHWEALTH,2016,283.8499
SVK,HHWEALTH,2017,276.5871
SVK,HHWEALTH,2018,263.3016
SVK,HHWEALTH,2019,268.014
SVK,HHWEALTH,2020,286.1472
SVK,HHWEALTH,2021,327.0913
EST,HHWEALTH,2010,269.75
EST,HHWEALTH,2011,270.96
EST,HHWEALTH,2012,309.4561
EST,HHWEALTH,2013,317.695
EST,HHWEALTH,2014,325.0432
EST,HHWEALTH,2015,311.8965
EST,HHWEALTH,2016,318.9956
EST,HHWEALTH,2017,326.9118
EST,HHWEALTH,2018,326.8221
EST,HHWEALTH,2019,339.2668
EST,HHWEALTH,2020,350.5624
CZE,HHWEALTH,2010,329.783
CZE,HHWEALTH,2011,339.2083
CZE,HHWEALTH,2012,346.1972
CZE,HHWEALTH,2013,359.2237
CZE,HHWEALTH,2014,358.3165
CZE,HHWEALTH,2015,364.5428
CZE,HHWEALTH,2016,371.966
CZE,HHWEALTH,2017,360.7545
CZE,HHWEALTH,2018,362.0995
CZE,HHWEALTH,2019,367.7457
CZE,HHWEALTH,2020,392.228
CZE,HHWEALTH,2021,389.5658
SVN,HHWEALTH,2010,305.1561
SVN,HHWEALTH,2011,301.515
SVN,HHWEALTH,2012,313.8548
SVN,HHWEALTH,2013,321.6053
SVN,HHWEALTH,2014,326.1846
SVN,HHWEALTH,2015,324.0651
SVN,HHWEALTH,2016,318.2664
SVN,HHWEALTH,2017,315.3926
SVN,HHWEALTH,2018,310.088
SVN,HHWEALTH,2019,307.1834
SVN,HHWEALTH,2020,315.139
SVN,HHWEALTH,2021,322.4704
NLD,HHWEALTH,2010,561.5328
NLD,HHWEALTH,2011,584.3383
NLD,HHWEALTH,2012,609.4117
NLD,HHWEALTH,2013,594.7526
NLD,HHWEALTH,2014,657.7368
NLD,HHWEALTH,2015,672.5969
NLD,HHWEALTH,2016,702.788
NLD,HHWEALTH,2017,686.7125
NLD,HHWEALTH,2018,678.2845
NLD,HHWEALTH,2019,738.7451
NLD,HHWEALTH,2020,795.037
NLD,HHWEALTH,2021,761.8932
LUX,HHWEALTH,2010,415.9634
LUX,HHWEALTH,2011,391.0426
LUX,HHWEALTH,2012,384.3902
LUX,HHWEALTH,2013,389.7844
LUX,HHWEALTH,2014,410.2944
LUX,HHWEALTH,2015,431.7891
LUX,HHWEALTH,2016,438.144
LUX,HHWEALTH,2017,418.4611
LUX,HHWEALTH,2018,413.2735
LUX,HHWEALTH,2019,429.5559
LUX,HHWEALTH,2020,420.3564
LUX,HHWEALTH,2021,442.8676
FRA,HHWEALTH,2010,471.1666
FRA,HHWEALTH,2011,473.5896
FRA,HHWEALTH,2012,491.871
FRA,HHWEALTH,2013,510.5922
FRA,HHWEALTH,2014,519.5696
FRA,HHWEALTH,2015,533.0162
FRA,HHWEALTH,2016,547.6226
FRA,HHWEALTH,2017,555.9926
FRA,HHWEALTH,2018,538.493
FRA,HHWEALTH,2019,560.9793
FRA,HHWEALTH,2020,578.6721
FRA,HHWEALTH,2021,590.2798
FIN,HHWEALTH,2010,324.8088
FIN,HHWEALTH,2011,307.8189
FIN,HHWEALTH,2012,327.4532
FIN,HHWEALTH,2013,345.8713
FIN,HHWEALTH,2014,359.2961
FIN,HHWEALTH,2015,364.4214
FIN,HHWEALTH,2016,368.4065
FIN,HHWEALTH,2017,376.0565
FIN,HHWEALTH,2018,369.6209
FIN,HHWEALTH,2019,391.961
FIN,HHWEALTH,2020,407.528
FIN,HHWEALTH,2021,428.5503
ITA,HHWEALTH,2010,512.7474
ITA,HHWEALTH,2011,502.1895
ITA,HHWEALTH,2012,552.0184
ITA,HHWEALTH,2013,564.0833
ITA,HHWEALTH,2014,575.7324
ITA,HHWEALTH,2015,582.8735
ITA,HHWEALTH,2016,578.6161
ITA,HHWEALTH,2017,586.2083
ITA,HHWEALTH,2018,561.7996
ITA,HHWEALTH,2019,590.8131
ITA,HHWEALTH,2020,625.1883
ITA,HHWEALTH,2021,638.61
POL,HHWEALTH,2010,136.5964
POL,HHWEALTH,2011,134.4356
POL,HHWEALTH,2012,143.5686
POL,HHWEALTH,2013,152.7335
POL,HHWEALTH,2014,155.2289
POL,HHWEALTH,2015,160.7456
POL,HHWEALTH,2016,165.7421
POL,HHWEALTH,2017,163.3737
POL,HHWEALTH,2018,162.1763
POL,HHWEALTH,2019,160.2933
BEL,HHWEALTH,2010,643.433
BEL,HHWEALTH,2011,632.6113
BEL,HHWEALTH,2012,642.4483
BEL,HHWEALTH,2013,652.2764
BEL,HHWEALTH,2014,669.1803
BEL,HHWEALTH,2015,682.4771
BEL,HHWEALTH,2016,685.0029
BEL,HHWEALTH,2017,672.2722
BEL,HHWEALTH,2018,646.8352
BEL,HHWEALTH,2019,664.098
BEL,HHWEALTH,2020,675.27
BEL,HHWEALTH,2021,686.9203
DEU,HHWEALTH,2010,427.646
DEU,HHWEALTH,2011,424.1301
DEU,HHWEALTH,2012,436.8998
DEU,HHWEALTH,2013,452.6975
DEU,HHWEALTH,2014,462.4353
DEU,HHWEALTH,2015,468.6908
DEU,HHWEALTH,2016,471.558
DEU,HHWEALTH,2017,479.5103
DEU,HHWEALTH,2018,476.7314
DEU,HHWEALTH,2019,500.0344
DEU,HHWEALTH,2020,517.8322
DEU,HHWEALTH,2021,554.6696
SWE,HHWEALTH,2010,475.3922
SWE,HHWEALTH,2011,432.2158
SWE,HHWEALTH,2012,434.0796
SWE,HHWEALTH,2013,471.7364
SWE,HHWEALTH,2014,525.9233
SWE,HHWEALTH,2015,550.8762
SWE,HHWEALTH,2016,580.2997
SWE,HHWEALTH,2017,594.496
SWE,HHWEALTH,2018,562.7352
SWE,HHWEALTH,2019,619.728
SWE,HHWEALTH,2020,686.8748
SWE,HHWEALTH,2021,753.7045
DNK,HHWEALTH,2010,452.3412
DNK,HHWEALTH,2011,447.9567
DNK,HHWEALTH,2012,498.4937
DNK,HHWEALTH,2013,509.4614
DNK,HHWEALTH,2014,552.8384
DNK,HHWEALTH,2015,568.4469
DNK,HHWEALTH,2016,697.3796
DNK,HHWEALTH,2017,707.9941
DNK,HHWEALTH,2018,681.4474
DNK,HHWEALTH,2019,748.3281
DNK,HHWEALTH,2020,823.1193
DNK,HHWEALTH,2021,988.771
GRC,HHWEALTH,2010,318.0253
GRC,HHWEALTH,2011,329.9374
GRC,HHWEALTH,2012,368.4424
GRC,HHWEALTH,2013,423.0504
GRC,HHWEALTH,2014,409.436
GRC,HHWEALTH,2015,393.5415
GRC,HHWEALTH,2016,386.3635
GRC,HHWEALTH,2017,396.3607
GRC,HHWEALTH,2018,365.4583
GRC,HHWEALTH,2019,362.2225
GRC,HHWEALTH,2020,382.1994
AUT,HHWEALTH,2010,408.4862
AUT,HHWEALTH,2011,406.3002
AUT,HHWEALTH,2012,407.8979
AUT,HHWEALTH,2013,427.0953
AUT,HHWEALTH,2014,432.6374
AUT,HHWEALTH,2015,439.2231
AUT,HHWEALTH,2016,438.7894
AUT,HHWEALTH,2017,446.7852
AUT,HHWEALTH,2018,444.5076
AUT,HHWEALTH,2019,452.565
AUT,HHWEALTH,2020,491.2668
AUT,HHWEALTH,2021,506.2139
PRT,HHWEALTH,2010,389.1646
PRT,HHWEALTH,2011,378.5551
PRT,HHWEALTH,2012,373.4164
PRT,HHWEALTH,2013,379.2925
PRT,HHWEALTH,2014,394.6919
PRT,HHWEALTH,2015,394.7362
PRT,HHWEALTH,2016,395.4554
PRT,HHWEALTH,2017,410.6864
PRT,HHWEALTH,2018,419.1057
PRT,HHWEALTH,2019,424.0815
PRT,HHWEALTH,2020,456.2539
LVA,HHWEALTH,2010,257.4895
LVA,HHWEALTH,2011,320.0357
LVA,HHWEALTH,2012,345.2176
LVA,HHWEALTH,2013,356.6511
LVA,HHWEALTH,2014,360.1223
LVA,HHWEALTH,2015,343.8063
LVA,HHWEALTH,2016,349.7424
LVA,HHWEALTH,2017,356.0467
LVA,HHWEALTH,2018,351.8301
LVA,HHWEALTH,2019,358.1719
LVA,HHWEALTH,2020,369.7018
LTU,HHWEALTH,2010,192.6198
LTU,HHWEALTH,2011,196.4827
LTU,HHWEALTH,2012,202.857
LTU,HHWEALTH,2013,211.2022
LTU,HHWEALTH,2014,212.8873
LTU,HHWEALTH,2015,221.4631
LTU,HHWEALTH,2016,224.6104
LTU,HHWEALTH,2017,232.3767
LTU,HHWEALTH,2018,231.1762
LTU,HHWEALTH,2019,231.8586
LTU,HHWEALTH,2020,245.3828
ESP,HHWEALTH,2010,332.0333
ESP,HHWEALTH,2011,316.5743
ESP,HHWEALTH,2012,325.4563
ESP,HHWEALTH,2013,352.042
ESP,HHWEALTH,2014,373.0132
ESP,HHWEALTH,2015,402.5874
ESP,HHWEALTH,2016,399.3086
ESP,HHWEALTH,2017,392.2701
ESP,HHWEALTH,2018,385.2155
ESP,HHWEALTH,2019,390.2174
ESP,HHWEALTH,2020,420.3188