LOCATION,Year,Population
AUS,2010,943323
AUS,2011,992802.546
AUS,2012,997651.363
AUS,2013,1104672.434
AUS,2014,1117601.897
AUS,2015,1124752.51
AUS,2016,1212854.276
AUS,2017,1247085.553
AUS,2018,1323863.624
AUS,2019,1337588.806
AUS,2020,1430866.404
AUS,2021,1595112.956
AUS,2022,1785955.318
AUT,2010,351323.808
AUT,2011,373031.477
AUT,2012,391635.176
AUT,2013,406370.245
AUT,2014,417059.519
AUT,2015,430975.924
AUT,2016,460282.647
AUT,2017,476590.588
AUT,2018,503361.417
AUT,2019,530169.037
AUT,2020,510568.008
AUT,2021,537014.574
AUT,2022,622665.496
BEL,2010,434058.868
BEL,2011,451932.625
BEL,2012,469720.336
BEL,2013,487343.796
BEL,2014,503619.623
BEL,2015,520877.807
BEL,2016,550677.566
BEL,2017,573788.528
BEL,2018,600269.926
BEL,2019,641140.355
BEL,2020,629660.776
BEL,2021,682137.395
BEL,2022,769613.396
CAN,2010,1363578.975
CAN,2011,1430807.125
CAN,2012,1468094.965
CAN,2013,1554122.745
CAN,2014,1621396.709
CAN,2015,1594850.842
CAN,2016,1678093.396
CAN,2017,1765763.154
CAN,2018,1852987.755
CAN,2019,1873760.081
CAN,2020,1794940.001
CAN,2021,2026899.115
CAN,2022,2221280.61
CZE,2010,292032.224
CZE,2011,304400.914
CZE,2012,307490.199
CZE,2013,324029.978
CZE,2014,342099.837
CZE,2015,357503.881
CZE,2016,381420.335
CZE,2017,411327.86
CZE,2018,437355.916
CZE,2019,471832.671
CZE,2020,458157.819
CZE,2021,479378.76
CZE,2022,534055.096
DNK,2010,238555.117
DNK,2011,247352.237
DNK,2012,250524.599
DNK,2013,262368.12
DNK,2014,270330.607
DNK,2015,278748.365
DNK,2016,297719.06
DNK,2017,319130.165
DNK,2018,333035.355
DNK,2019,348345.911
DNK,2020,354736.865
DNK,2021,380007.666
DNK,2022,442725.025
FIN,2010,208926.59
FIN,2011,220471.171
FIN,2012,221285.636
FIN,2013,225679.983
FIN,2014,228058.636
FIN,2015,232867.602
FIN,2016,246928.493
FIN,2017,262026.563
FIN,2018,273455.993
FIN,2019,286082.927
FIN,2020,289224.32
FIN,2021,303129.453
FIN,2022,332318.393
FRA,2010,2334557.742
FRA,2011,2446474.544
FRA,2012,2474005.287
FRA,2013,2608523.504
FRA,2014,2662032.873
FRA,2015,2718495.127
FRA,2016,2864105.631
FRA,2017,2983010.673
FRA,2018,3125379.86
FRA,2019,3403158.941
FRA,2020,3252531.255
FRA,2021,3479874.481
FRA,2022,3814783.882
DEU,2010,3185267.891
DEU,2011,3415019.966
DEU,2012,3487234.448
DEU,2013,3628559.337
DEU,2014,3807114.521
DEU,2015,3889081.896
DEU,2016,4165169.905
DEU,2017,4386729.188
DEU,2018,4576056.532
DEU,2019,4769328.306
DEU,2020,4697130.976
DEU,2021,4891842.639
DEU,2022,5371318.279
GRC,2010,310415.31
GRC,2011,285079.561
GRC,2012,275143.683
GRC,2013,284949.076
GRC,2014,290011.379
GRC,2015,289570.644
GRC,2016,296466.614
GRC,2017,307636.013
GRC,2018,317881.481
GRC,2019,334040.54
GRC,2020,304016.729
GRC,2021,333014.632
GRC,2022,393631.536
HUN,2010,217415.959
HUN,2011,229643.36
HUN,2012,230821.511
HUN,2013,242855.184
HUN,2014,253484.632
HUN,2015,263781.873
HUN,2016,274222.712
HUN,2017,288707.448
HUN,2018,311927.137
HUN,2019,338526.704
HUN,2020,333161.834
HUN,2021,357064.87
HUN,2022,413146.473
ISL,2010,12649.529
ISL,2011,13059.434
ISL,2012,13471.498
ISL,2013,14378.252
ISL,2014,15058.764
ISL,2015,16276.45
ISL,2016,17939.411
ISL,2017,19106.258
ISL,2018,20174.854
ISL,2019,21492.457
ISL,2020,19900.372
ISL,2021,21678.937
ISL,2022,25335.76
IRL,2010,197036.295
IRL,2011,206494.885
IRL,2012,213365.684
IRL,2013,221217.164
IRL,2014,238187.305
IRL,2015,324787.369
IRL,2016,340185.299
IRL,2017,374825.508
IRL,2018,412301.576
IRL,2019,442690.205
IRL,2020,468339.713
IRL,2021,536386.735
IRL,2022,656439.507
ITA,2010,2083996.379
ITA,2011,2173169.961
ITA,2012,2172383.108
ITA,2013,2187376.607
ITA,2014,2200256.409
ITA,2015,2240922.483
ITA,2016,2420672.141
ITA,2017,2517184.468
ITA,2018,2600326.872
ITA,2019,2735577.365
ITA,2020,2564455.924
ITA,2021,2760717.633
ITA,2022,3092145.9
JPN,2010,4525401.306
JPN,2011,4629400.467
JPN,2012,4799612.88
JPN,2013,5021591.104
JPN,2014,5034454.619
JPN,2015,5199915.223
JPN,2016,5158900.414
JPN,2017,5262254.967
JPN,2018,5344060.937
JPN,2019,5352898.847
JPN,2020,5263052.866
JPN,2021,5383426.681
JPN,2022,5843526.324
KOR,2010,1572680.44
KOR,2011,1625275.456
KOR,2012,1684562.928
KOR,2013,1726902.753
KOR,2014,1792600.237
KOR,2015,1933588.947
KOR,2016,2026967.822
KOR,2017,2103651.26
KOR,2018,2220442.286
KOR,2019,2247126.568
KOR,2020,2316806.899
KOR,2021,2425556.12
KOR,2022,2636923.276
LUX,2010,45806.816
LUX,2011,48970.83
LUX,2012,51308.749
LUX,2013,54838.627
LUX,2014,58578.312
LUX,2015,61437.294
LUX,2016,65980.114
LUX,2017,68570.173
LUX,2018,70825.278
LUX,2019,74115.971
LUX,2020,75656.711
LUX,2021,84175.446
LUX,2022,93962.589
MEX,2010,1740490.338
MEX,2011,1911319.096
MEX,2012,2012767.781
MEX,2013,2064490.947
MEX,2014,2173227.412
MEX,2015,2230188.94
MEX,2016,2383253.082
MEX,2017,2460766.096
MEX,2018,2535949.668
MEX,2019,2529761.704
MEX,2020,2333740.769
MEX,2021,2480684.356
MEX,2022,2691313.29
NLD,2010,748383.899
NLD,2011,777880.907
NLD,2012,792041.828
NLD,2013,827475.788
NLD,2014,830318.43
NLD,2015,851884.697
NLD,2016,890488.555
NLD,2017,943739.619
NLD,2018,996447.288
NLD,2019,1044307.685
NLD,2020,1043402.526
NLD,2021,1111051.53
NLD,2022,1256312.118
NZL,2010,135849.502
NZL,2011,143362.869
NZL,2012,145417.047
NZL,2013,160992.629
NZL,2014,168435.427
NZL,2015,172758.809
NZL,2016,188250.858
NZL,2017,203156.734
NZL,2018,208311.966
NZL,2019,228165.068
NZL,2020,231699.786
NZL,2021,245363.98
NZL,2022,267895.314
NOR,2010,284685.067
NOR,2011,309370.337
NOR,2012,330093.373
NOR,2013,342254.475
NOR,2014,340765.256
NOR,2015,315145.02
NOR,2016,310303.322
NOR,2017,340837.014
NOR,2018,373182.531
NOR,2019,373905.514
NOR,2020,350366.117
NOR,2021,442761.845
NOR,2022,518561.227
POL,2010,794704.641
POL,2011,862451.786
POL,2012,897877.763
POL,2013,925133.245
POL,2014,962317.654
POL,2015,1018896.563
POL,2016,1069459.06
POL,2017,1137654.148
POL,2018,1216240.494
POL,2019,1327882.052
POL,2020,1338432.734
POL,2021,1443514.646
POL,2022,1649468.644
PRT,2010,288228.565
PRT,2011,282620.91
PRT,2012,277991.759
PRT,2013,292135.199
PRT,2014,298951.673
PRT,2015,307230.008
PRT,2016,326364.379
PRT,2017,340370.325
PRT,2018,359198.932
PRT,2019,383670.579
PRT,2020,359941.428
PRT,2021,378292.824
PRT,2022,435020.402
SVK,2010,136951.599
SVK,2011,141755.313
SVK,2012,145972.536
SVK,2013,151678.246
SVK,2014,157298.526
SVK,2015,163007.449
SVK,2016,161498.697
SVK,2017,163951.2
SVK,2018,170864.165
SVK,2019,182459.05
SVK,2020,179715.845
SVK,2021,188085.979
SVK,2022,205495.401
ESP,2010,1475606.419
ESP,2011,1489594.952
ESP,2012,1483654.097
ESP,2013,1512561.983
ESP,2014,1558986.389
ESP,2015,1621825.009
ESP,2016,1734116.161
ESP,2017,1842770.464
ESP,2018,1905450.021
ESP,2019,2031924.567
ESP,2020,1799328.046
ESP,2021,1928019.184
ESP,2022,2225886.52
SWE,2010,395960.987
SWE,2011,421515.998
SWE,2012,432488.303
SWE,2013,444616.544
SWE,2014,457507.758
SWE,2015,481170.723
SWE,2016,500423.665
SWE,2017,522476.825
SWE,2018,544594.071
SWE,2019,579773.396
SWE,2020,581247.942
SWE,2021,626269.585
SWE,2022,683843.355
CHE,2010,425979.998
CHE,2011,454911.977
CHE,2012,475340.888
CHE,2013,498760.658
CHE,2014,519299.875
CHE,2015,540550.996
CHE,2016,563950.47
CHE,2017,576360.576
CHE,2018,601868.008
CHE,2019,623154.669
CHE,2020,611675.806
CHE,2021,661282.472
CHE,2022,723517.334
TUR,2010,1268708.962
TUR,2011,1454111.872
TUR,2012,1550688.484
TUR,2013,1703669.602
TUR,2014,1860470.92
TUR,2015,2022397.778
TUR,2016,2116398.303
TUR,2017,2264269.34
TUR,2018,2302309.895
TUR,2019,2313147.025
TUR,2020,2332603.593
TUR,2021,2581588.441
TUR,2022,2980221.735
GBR,2010,2295926.826
GBR,2011,2357065.652
GBR,2012,2441787.874
GBR,2013,2563540.009
GBR,2014,2667111.912
GBR,2015,2773799.776
GBR,2016,2903649.696
GBR,2017,3045581.584
GBR,2018,3137072.362
GBR,2019,3294277.295
GBR,2020,3077151.591
GBR,2021,3355086.227
GBR,2022,3754153.095
USA,2010,15048970
USA,2011,15599731
USA,2012,16253970
USA,2013,16843196
USA,2014,17550687
USA,2015,18206023
USA,2016,18695106
USA,2017,19477337
USA,2018,20533058
USA,2019,21380976
USA,2020,21060474
USA,2021,23315081
USA,2022,25462700
CHL,2010,307855.67
CHL,2011,349147.748
CHL,2012,374316.6
CHL,2013,392670.388
CHL,2014,402902.197
CHL,2015,405499.68
CHL,2016,424831.691
CHL,2017,450891.85
CHL,2018,478093.905
CHL,2019,487414.485
CHL,2020,481373.694
CHL,2021,552379.782
CHL,2022,600128.539
CHN,2010,1.2380166279E7
CHN,2011,1.3844365747E7
CHN,2012,1.5124539502E7
CHN,2013,1.6185062522E7
CHN,2014,1.7121277096E7
CHN,2015,1.7796747039E7
CHN,2016,1.8712097153E7
CHN,2017,1.9887035113E7
CHN,2018,2.173653482E7
CHN,2019,2.3441908773E7
CHN,2020,2.4255795538E7
CHN,2021,2.744550377E7
CHN,2022,3.0090699886E7
COL,2010,480532.035
COL,2011,524596.546
COL,2012,548251.361
COL,2013,585888.316
COL,2014,618792.732
COL,2015,624119.465
COL,2016,665398.39
COL,2017,693117.075
COL,2018,747103.675
COL,2019,796590.015
COL,2020,769209.548
COL,2021,881190.92
COL,2022,1016560.673
EST,2010,28784.31
EST,2011,32598.245
EST,2012,34384.891
EST,2013,36198.154
EST,2014,38050.086
EST,2015,38378.235
EST,2016,41201.029
EST,2017,44556.482
EST,2018,48133.366
EST,2019,51758.554
EST,2020,52438.777
EST,2021,57864.708
EST,2022,63555.067
IND,2010,5170609.612
IND,2011,5618380.736
IND,2012,6153155.414
IND,2013,6477517.562
IND,2014,6781021.981
IND,2015,7159798.323
IND,2016,7735001.686
IND,2017,8276934.252
IND,2018,9015546.032
IND,2019,9657283.711
IDN,2010,2057206.51
IDN,2011,2229511.719
IDN,2012,2413435.226
IDN,2013,2535041.373
IDN,2014,2622251.601
IDN,2015,2647706.549
IDN,2016,2744896.64
IDN,2017,2894125.53
IDN,2018,3116594.552
IDN,2019,3331570.511
IDN,2020,3303238.766
IDN,2021,3567505.282
IDN,2022,3969883.308
ISR,2010,223363.617
ISR,2011,241995.627
ISR,2012,255688.728
ISR,2013,279990.229
ISR,2014,285416.076
ISR,2015,300546.18
ISR,2016,326528.81
ISR,2017,343723.666
ISR,2018,357372.009
ISR,2019,370643.668
ISR,2020,370624.727
ISR,2021,412651.502
ISR,2022,469800.84
RUS,2010,3143873.887
RUS,2011,3259319.17
RUS,2012,3480301.72
RUS,2013,3741783.371
RUS,2014,3763536.922
RUS,2015,3526234.314
RUS,2016,3538975.3
RUS,2017,3807099.411
RUS,2018,4231840.387
RUS,2019,4398115.281
RUS,2020,4367291.715
SVN,2010,57002.774
SVN,2011,59391.555
SVN,2012,59745.667
SVN,2013,61744.434
SVN,2014,63653.392
SVN,2015,65265.909
SVN,2016,70079.359
SVN,2017,75438.709
SVN,2018,80823.475
SVN,2019,87897.466
SVN,2020,85929.679
SVN,2021,92701.12
SVN,2022,106933.333
ZAF,2010,661392.383
ZAF,2011,696526.062
ZAF,2012,698221.036
ZAF,2013,730517.508
ZAF,2014,741915.64
ZAF,2015,758900.96
ZAF,2016,772768.575
ZAF,2017,790170.605
ZAF,2018,821364.184
ZAF,2019,838593.092
ZAF,2020,794871.547
ZAF,2021,868576.995
ZAF,2022,950909.886
OECD,2010,4.4614983168E7
OECD,2011,4.6680321317E7
OECD,2012,4.820698548E7
OECD,2013,5.0240584446E7
OECD,2014,5.2015538544E7
OECD,2015,5.3835508398E7
OECD,2016,5.6064404948E7
OECD,2017,5.8546287483E7
OECD,2018,6.1187779894E7
OECD,2019,6.3585201748E7
OECD,2020,6.2108741863E7
OECD,2021,6.7336651414E7
OECD,2022,7.450510467E7
OECDE,2010,1.821235244E7
OECDE,2011,1.9167315085E7
OECDE,2012,1.9597578024E7
OECDE,2013,2.0432856844E7
OECDE,2014,2.1170755109E7
OECDE,2015,2.1958024719E7
OECDE,2016,2.3210765353E7
OECDE,2017,2.4437823222E7
OECDE,2018,2.5479952725E7
OECDE,2019,2.6865324227E7
OECDE,2020,2.5944814206E7
OECDE,2021,2.7901601402E7
OECDE,2022,3.1381333994E7
LVA,2010,37140.929
LVA,2011,39646.372
LVA,2012,43311.605
LVA,2013,45564.445
LVA,2014,47483.528
LVA,2015,49384.341
LVA,2016,52362.25
LVA,2017,55691.224
LVA,2018,59505.492
LVA,2019,63017.996
LVA,2020,62750.162
LVA,2021,65991.926
LVA,2022,76741.786
BRA,2010,2798924.733
BRA,2011,2970630.763
BRA,2012,2998534.425
BRA,2013,3133893.65
BRA,2014,3187155.079
BRA,2015,3014754.849
BRA,2016,2939094.21
BRA,2017,3018705.989
BRA,2018,3145953.19
BRA,2019,3241317.4
BRA,2020,3213097.741
LTU,2010,62244.934
LTU,2011,69298.245
LTU,2012,73809.042
LTU,2013,79034.188
LTU,2014,82647.295
LTU,2015,83761.504
LTU,2016,88700.479
LTU,2017,95492.278
LTU,2018,101910.429
LTU,2019,111646.989
LTU,2020,112288.658
LTU,2021,122667.694
LTU,2022,139482.646
SAU,2010,1413178.186
SAU,2011,1586748.761
SAU,2012,1672470.749
SAU,2013,1680157.97
SAU,2014,1722861.782
SAU,2015,1541831.733
SAU,2016,1475672.107
SAU,2017,1565891.582
SAU,2018,1643610.545
SAU,2019,1678594.247
SAU,2020,1628533.458
SAU,2021,1751177.858
EA19,2010,1.2023196718E7
EA19,2011,1.2553985384E7
EA19,2012,1.2707300052E7
EA19,2013,1.3151205465E7
EA19,2014,1.3522902012E7
EA19,2015,1.393356476E7
EA19,2016,1.4824003857E7
EA19,2017,1.5565737664E7
EA19,2018,1.6259659385E7
EA19,2019,1.7236523768E7
EA19,2020,1.6545622944E7
EA19,2021,1.7609958027E7
EA19,2022,1.948976959E7
ARG,2010,736799.121
ARG,2011,797263.882
ARG,2012,819697.902
ARG,2013,849616
ARG,2014,839896.688
ARG,2015,867176.759
ARG,2016,885227.529
ARG,2017,1039330.592
ARG,2018,1036307.018
ARG,2019,1045428.557
ARG,2020,952070.065
ARG,2021,1092845.898
CRI,2010,60585.846
CRI,2011,64567.752
CRI,2012,69073.803
CRI,2013,73210.057
CRI,2014,79269.13
CRI,2015,85240.084
CRI,2016,93454.856
CRI,2017,100716.907
CRI,2018,106583.345
CRI,2019,114952.28
CRI,2020,111138.964
CRI,2021,116703.599
CRI,2022,127686.494
BGR,2010,110611.259
BGR,2011,115714.883
BGR,2012,119289.705
BGR,2013,120942.775
BGR,2014,127262.827
BGR,2015,132016.884
BGR,2016,143086.483
BGR,2017,151919.87
BGR,2018,161687.808
BGR,2019,175580.42
BGR,2020,175386.724
BGR,2021,193304.902
BGR,2022,219808.879
HRV,2010,86116.247
HRV,2011,90295.751
HRV,2012,91597.876
HRV,2013,94198.785
HRV,2014,94773.754
HRV,2015,98104.634
HRV,2016,105445.408
HRV,2017,112215.476
HRV,2018,118176.489
HRV,2019,128412.794
HRV,2020,120163.984
HRV,2021,134651.558
HRV,2022,157149.131
CYP,2010,27795.781
CYP,2011,28424.76
CYP,2012,27580.612
CYP,2013,26247.51
CYP,2014,25720.828
CYP,2015,27059.5
CYP,2016,30552.782
CYP,2017,33018.337
CYP,2018,35391.23
CYP,2019,38840.162
CYP,2020,36948.39
CYP,2021,39970.121
CYP,2022,46039.791
MLT,2010,11905.695
MLT,2011,12060.668
MLT,2012,12703.272
MLT,2013,13757.007
MLT,2014,14924.391
MLT,2015,16669.533
MLT,2016,18080.342
MLT,2017,20354.833
MLT,2018,22078.512
MLT,2019,24810.525
MLT,2020,23149.335
MLT,2021,25907.066
MLT,2022,29778.205
ROU,2010,351401.806
ROU,2011,378833.587
ROU,2012,397334.041
ROU,2013,393222.364
ROU,2014,410763.371
ROU,2015,428503.297
ROU,2016,470979.152
ROU,2017,527783.803
ROU,2018,575806.732
ROU,2019,640553.648
ROU,2020,642164.611
ROU,2021,693440.505
ROU,2022,805342.003
MKD,2010,23346.758
MKD,2011,24064.243
MKD,2012,24558.756
MKD,2013,26269.669
MKD,2014,27775.93
MKD,2015,28751.905
MKD,2016,31373.363
MKD,2017,32583.005
MKD,2018,34872.76
MKD,2019,37395.328
MKD,2020,35902.666
MKD,2021,37872.917
ZMB,2010,43256.434
ZMB,2011,46612.239
ZMB,2012,49508.704
ZMB,2013,53419.766
ZMB,2014,54506.425
ZMB,2015,54472.617
ZMB,2016,55712.229
ZMB,2017,58603.828
ZMB,2018,62564.66
ZMB,2019,64601.642
ZMB,2020,63559.36
HKG,2010,345524.692
HKG,2011,369685.332
HKG,2012,373482.559
HKG,2013,385448.332
HKG,2014,396043.918
HKG,2015,411294.477
HKG,2016,419837.595
HKG,2017,442425.449
HKG,2018,465891.515
HKG,2019,466266.324
HKG,2020,441000.955
HKG,2021,488461.722
MDG,2010,32812.667
MDG,2011,34048.44
MDG,2012,34613.437
MDG,2013,35664.458
MDG,2014,37112.146
MDG,2015,37860.94
MDG,2016,40431.499
MDG,2017,40952.508
MDG,2018,43169.242
MDG,2019,45918.731
MDG,2020,43227.888
MAR,2010,224955.598
MAR,2011,241675.201
MAR,2012,244714.331
MAR,2013,256127.215
MAR,2014,248261.803
MAR,2015,269769.48
MAR,2016,273970.678
MAR,2017,285550.399
MAR,2018,300886.834
MAR,2019,313443.273
MAR,2020,292347.633
MAR,2021,332718.328
SGP,2010,382733.648
SGP,2011,414966.621
SGP,2012,435964.936
SGP,2013,448140.098
SGP,2014,461771.556
SGP,2015,481405.402
SGP,2016,501388.381
SGP,2017,535130.769
SGP,2018,566206.118
SGP,2019,582533.634
SGP,2020,558073.358
EU27_2020,2010,1.4509947109E7
EU27_2020,2011,1.5204175101E7
EU27_2020,2012,1.5434693191E7
EU27_2020,2013,1.5958633288E7
EU27_2020,2014,1.644142293E7
EU27_2020,2015,1.6992246856E7
EU27_2020,2016,1.8066710601E7
EU27_2020,2017,1.9036893416E7
EU27_2020,2018,1.9958437923E7
EU27_2020,2019,2.1247416665E7
EU27_2020,2020,2.0548813297E7
EU27_2020,2021,2.1914025901E7
EU27_2020,2022,2.4374412639E7
ALB,2010,28048.431
ALB,2011,29655.579
ALB,2012,30530.397
ALB,2013,30603.995
ALB,2014,32529.046
ALB,2015,33585.806
ALB,2016,34740.019
ALB,2017,36696.774
ALB,2018,38690.695
ALB,2019,41121.413
ALB,2020,39826.28
SRB,2010,93316.964
SRB,2011,99446.681
SRB,2012,100310.888
SRB,2013,104804.573
SRB,2014,104530.725
SRB,2015,105922.988
SRB,2016,111931.491
SRB,2017,116623.419
SRB,2018,123717.018
SRB,2019,134771.47
SRB,2020,134862.222
SRB,2021,147874.29
GEO,2010,28645.899
GEO,2011,31404.993
GEO,2012,36640.15
GEO,2013,39450.982
GEO,2014,43054.384
GEO,2015,45035.513
GEO,2016,47930.085
GEO,2017,50662.562
GEO,2018,54384.905
GEO,2019,58115.885
GEO,2020,54840.076
CMR,2010,57303.422
CMR,2011,60470.66
CMR,2012,63568.301
CMR,2013,69098.828
CMR,2014,75134.547
CMR,2015,79112.64
CMR,2016,84392.895
CMR,2017,90037.542
CMR,2018,95835.08
CMR,2019,100939.193
CMR,2020,102499.678
SEN,2010,33637.035
SEN,2011,34793.989
SEN,2012,36713.666
SEN,2013,37797.219
SEN,2014,40124.398
SEN,2015,43317.631
SEN,2016,46119.11
SEN,2017,49402.166
SEN,2018,53722.712
SEN,2019,57219.726
SEN,2020,58676.63
